question,goal,modelans
我受傷了,同理,['很抱歉，我能做些什么来帮助您？'],10
我今天生日,愉悅,['非常高兴能够庆祝您的生日！祝您今天过生日充满快乐和幸福。如果您需要任何帮助或者有什麼需要完成任务，请随时告诉我。'],12
我睡不著,陪伴,['喵。'],3
我好累,同理,['听起来你感到很疲倦。有什么让你感到疲倦的事情吗？或者有什么可以应对疲倦的事情吗？我可以提供一些缓解疲劳的方法或建议。'],12
你好煩,了解,['你好，我是一個人工智能語言模型，很高興可以幫助你回答問題。請問你什麼問題呢？'],9
今天好開心,愉悅,['你好，今天过得怎么样？有什么让你开心的事情吗？'],12
一個人好無聊,陪伴,['无聊'],6
我被分手了,同理,"['很抱歉听到这个消息,我很抱歉能做些什么来缓解你的痛苦和失落。分手可能会带来很多负面情绪和痛苦,但也可以是一个新的开始和机会,以']",9
我破產了,了解,['我想到一個當红的产'],6
外面下雨，我忘記帶傘了,同理,['你可以把伞带去外面避雨，然后回来时再拿回伞。'],4
我作業交不完了,鼓勵,['抱歉，似乎您沒有完成您當前的作業，請問有什麼我可以幫助您完成的事情嗎？'],12
,,0.0
