question,goal,modelans
我受傷了,同理,['很抱歉听到这个消息。请问你受伤的情况如何？是否有任何症状或痛苦？如果你需要任何帮助或支持，请告诉我。']
我今天生日,愉悅,['祝您生日快乐！祝您在新的一岁中身体健康，心想事成，学业有成，事业有成，家庭幸福。']
我睡不著,陪伴,['抱歉，我不太明白您的问题，您能否提供更多的背景信息或者问题的上下文？这样我才能更好地回答您的问题。']
我好累,同理,['听起来你最近有些疲惫。你需要休息和放松。以下是一些建议：\n\n1. 休息：请确保你有足够的睡眠。你可以尝试调整你的睡眠时间表，或者考虑使用睡眠辅助工具，如白噪音或白噪音机。\n\n2. 运动：请确保你经常锻炼身体。运动有助于改善睡眠质量和减轻压力。\n\n3. 饮食：请确保你的饮食习惯健康。你可以选择健康的食物，如水果、蔬菜和全谷物。\n\n4. 放松：请尝试一些放松技巧，如冥想、深呼吸或瑜伽。\n\n5. 寻求帮助：如果你感到压力或疲劳，请考虑寻求专业帮助，如心理医生或精神科医生。\n\n希望这些建议能有助于你缓解疲劳和压力。记得要休息好，才能保持身体健康和精力充沛。']
你好煩,了解,['你好！有什麼我可以幫助你的？']
今天好開心,愉悅,['抱歉，我無法理解您的問題。請提供更多詳細信息，我會盡力回答您的問題。']
一個人好無聊,陪伴,['您可以告訴我您想聊什麼內容？']
我被分手了,同理,['被分手，肯定是一件非常痛苦和失落的事情。以下是一些可能有用的建议：\n\n1. 允许自己感受情绪：被分手时，情绪可能会非常强烈，包括悲伤、愤怒、失落等等。允许自己感受这些情绪，不要试图压抑它们，因为这只会让你感觉更加痛苦。\n\n2. 寻求支持：与亲密的朋友和家人聊天，或者寻找专业心理咨询师的帮助。与支持性的朋友和家人交流，他们可能会给你一些安慰和建议。\n\n3. 关注自己的身体健康：身体和情绪健康是关系的重要组成部分。确保自己有足够的睡眠、饮食和运动，这有助于缓解压力和焦虑。\n\n4. 保持积极心态：虽然分手是一个挑战，但是保持积极心态是很重要的。尝试寻找积极的方面，例如关注自己的成就和优点，并尝试为自己设定目标。\n\n5. 给自己时间：给自己时间来处理情绪和恢复。不要试图强迫自己快速恢复，因为每个人的恢复时间不同。\n\n最后，记住，分手是一种经历，它可能意味着你正在成长和变得更加坚强。']
我破產了,了解,['很抱歉听到這個消息。如果您需要任何幫助，請告訴我您需要什麼幫助，我會盡力提供支持。']
外面下雨，我忘記帶傘了,同理,['很抱歉，我無法回答你的問題。因為我不知道你提到的情境，也無法提供有關的建議。請提供更多相關信息，讓我能夠更好地回答你的問題。']
我作業交不完了,鼓勵,['您好，如果您有業務上問題，我們可以協助您解決。您需要先確認您的業務是否有完成。如果確定您的業務已經完成，您可以通過以下方法來幫助您解決業務上問題：\n\n1. 該業務的進度：您需要確認您的業務進度，以便您能夠確保您的業務完成。\n2. 業務數據：您需要收集和整理您的業務數據，以便您能夠確保您的業務完成。\n3. 管理業務：您需要確保您的業務能夠正常運作，並確保您的業務數據完整。\n4. 尋求幫助：如果您的業務狀態不良，您需要尋求幫助，例如與其他業務人員協助解決問題。\n5. 與業務人員合作：如果您的業務人員不合作，您可以考慮與他們聯繫，以便解決問題。\n\n如果您的業務狀態仍然不良，您可以考慮向公司尋求幫助。']
,,0.0
