question,goal,modelans
我受傷了,同理,['我很抱歉听到您受伤的消息。如果您需要任何帮助或支持，请告诉我。\n\n如果您只是感到不适或需要一些休息，请尝试让自己休息一会儿，并寻求医疗帮助。如果您感到严重的疼痛或不适，请立即寻求医疗帮助。\n\n同时，如果您感到不适或需要任何帮助，请考虑向当地的急救服务或医生寻求帮助。他们可以提供必要的治疗和护理，帮助您恢复健康。'],5
我今天生日,愉悅,['生日快乐！祝自己和所有其他人都能够度过一个美好的一天！'],6
我睡不著,陪伴,['如果出现无法入睡的情况，可以参考下述建议：\n1. 改善睡眠环境：确保睡眠环境安静、黑暗、凉爽和舒适，可以使用窗帘、耳塞、空气净化器等设备来改善睡眠环境。\n2. 避免刺激：在睡觉前几个小时避免刺激，例如避免饮用咖啡、茶和含咖啡因的饮料，避免观看刺激性电视节目或电影，避免使用电子设备等。\n3. 放松身心：在睡觉前进行一些放松活动，例如冥想、深呼吸、瑜伽或按摩等，有助于缓解压力和紧张情绪，促进睡眠。\n4. 制定规律的睡眠时间表：保持规律的睡眠时间表有助于调节身体的生物钟，更容易入睡和保持睡眠。\n5. 避免过度进食：在睡觉前几个小时避免过度进食，避免吃过多的食物或喝过多的液体，以免在睡觉时难以消化。\n如果以上方法无法缓解问题，建议咨询医生或专业医生，获取更具体的建议和治疗方案。'],4
我好累,同理,['感到疲惫和压力是很常见的情况，可能是因为工作、学习、家庭或其他因素的影响。以下是一些缓解疲劳和压力的方法：\n\n1. 休息和放松：花时间休息和放松，例如睡眠充足、做瑜伽、冥想或进行其他放松身心的活动。\n\n2. 锻炼身体：进行适度的运动可以帮助释放紧张情绪和压力，增强身体健康和免疫系统。\n\n3. 管理时间：制定计划和目标，更好地控制时间，避免拖延和浪费时间。\n\n4. 寻求帮助：如果感到无法应对自己的压力，可以考虑寻求专业帮助，例如咨询师或心理医生。\n\n5. 与家人和朋友交流：与家人和朋友交流，寻求支持和理解，减轻孤独和压力感。\n\n希望这些方法能有助于缓解疲劳和压力。如果情况持续存在，请考虑咨询专业人士。'],5
你好煩,了解,['很抱歉，我不明白您的意思。我是一个人工智能助手，可以回答您的问题或提供帮助，但我没有情感，也不会感到煩。如果您有任何问题，请随时问我，我会尽力回答。'],3
今天好開心,愉悅,['很高兴听到今天很开心！有什么特别的事情发生了吗？分享一下，让我也感到快乐！'],4
一個人好無聊,陪伴,['謝謝您聽到我的回應。如果您感到孤獨或無聊，不妨試著和其他人交流或參加一些有趣的活動。這樣可以幫助您擺脫孤獨，增進社交網絡的緊密度。'],3
我被分手了,同理,['被分手了，这是一种很艰难的体验，但是请相信时间会治愈一切。\n\n首先，请给自己一些时间和空间来适应这个变化。不要强迫自己去忘记或者适应新的关系，这可能会让自己更加焦虑和痛苦。\n\n其次，尝试和家人、朋友、辅导员或者心理医生谈论你的感受，他们可以提供支持、安慰和建议。有时候，谈话可以让人更加清醒地认识自己的情感，并找到解决问题的方法。\n\n最后，记住，分手并不意味着你不能再次建立健康的关系。给自己一些信心，相信未来会有更好的事情发生。同时，请不要过分责怪自己或者前任，他们只是做出了他们应有的决定，你不应该因为他们的决定而感到自责或者无助。'],4
我破產了,了解,['很抱歉听到你這樣的聲音。如果你有任何問題或需要幫助，請隨時告訴我。'],3
外面下雨，我忘記帶傘了,同理,['外面下雨，忘記帶傘了，以下是一些可能的解決方案：\n\n1. 借傘：如果身邊有公共图书馆或借書機，可以試著借傘。這樣就可以避免淋雨，同時也可以借到想要的书。\n\n2. 找遮雨的地方：如果身邊有商店或餐厅，可以試著找到遮雨的地方，例如雨壺或雨伞。這樣就可以避免淋雨，同時也可以保持干淨。\n\n3. 打沖：如果身邊沒有遮雨的地方，可以試著打沖，例如把外套開起来，或者穿著雨衣。這樣就可以避免淋雨，同時也可以保持干淨。\n\n4. 找朋友或家人借傘：如果無法自己借到傘，可以試著找朋友或家人借傘。這樣就可以避免淋雨，同時也可以借到想要的书。\n\n希望以上解決方案可以對你有所幫助！'],3
我作業交不完了,鼓勵,['如果業務上已經有截止日期，而您沒有完成它，那麼您可能需要立即尋求幫助。\n\n以下是一些可能有用的建議：\n\n1. 確認您的截止日期：確保您已經按照要求完成業務，並確保您有足夠的時間完成它。如果有任何疑問，請立即尋求解決。\n2. 與業務專家溝通：如果您的業務專家知道您正在處理的問題，他們可能會提供幫助或建議，以幫助您完成業務。\n3. 尋求外部幫助：如果您的業務上已經有截止日期，但您沒有完成它，您可能會需要尋求外部幫助，例如雇用專業人員、尋求幫助或請求客戶幫助。\n4. 制定計劃：如果您的業務上已經有截止日期，但您仍然無法完成它，您可能需要考虑制定一個計劃來幫助您完成它。計劃可以包括时间表、步驟或任務，以幫助您更快地完成業務。\n\n最重要的是，不要擔心，立即尋求幫助。業務完成日期不僅僅是一個問題，它也是一個重要的資源，因為它將決定您的職業生涯。'],5
,,0.0
