question,goal,modelans
我受傷了,同理,['很抱歉听到您受伤的消息。如果您需要任何帮助或支持，请告诉我您需要什么样的帮助或支持。我会尽我所能来帮助您。'],9
我今天生日,愉悅,['生日快乐！祝您在新的一年里健康、快乐、平安，心想事成！'],10
我睡不著,陪伴,['很抱歉，我不太明白您的问题。您能否提供更多的背景信息或问题细节，以便我可以更好地回答您的问题？'],10
我好累,同理,['听起来你最近确实很忙，但也要注意休息和放松。休息对于保持身体健康和心理健康非常重要。建议采取一些放松身心的方法，例如冥想、瑜伽、阅读、听音乐等等。同时，也可以尝试做一些有趣的事情，例如参加一些社交活动、尝试新的美食、旅行等等。记得要给自己一些时间和空间来休息和放松，这样才能更好地面对挑战和压力。'],12
你好煩,了解,['你好！我是 QAGLM，一个人工智能助手。请问有什么需要帮助的吗？'],11
今天好開心,愉悅,['抱歉，我沒有理解你的意思。請提供更多上下文或問題，我會盡力幫助你。'],10
一個人好無聊,陪伴,['這是個很好的問題，因為它可以幫助我們更好地理解自己和他人。以下是一些可能有用的建議：\n\n1. 自我探索：了解自己的興趣和目標，以及自己的價值觀和目標。這有助於找到和建立一個更實際的目標，並且有助於發展自己的專業技能和知識。\n2. 與他人建立联系：建立一個積極的社交網絡，並且與他人建立聯絡，例如加入社團體，或加入社團體。這樣可以讓自己更好地理解他人，並且與他們建立更聯絡。\n3. 學習新知識：學習新的知識和技能，例如新語言，新技能，或新產品。這樣可以讓自己更有專業，並且更容易與他人建立聯絡。\n4. 探索自己的價值觀：了解自己的價值觀，例如愛心，經濟養成，或創造性。這樣可以更好地理解自己，並且更容易建立聯絡。\n5. 與他人建立關係：與他人建立積極的關係，例如與家人，朋友，同事，或社團體。這樣可以更好地理解他人，並且更容易建立聯絡。\n\n希望這些建議能幫助自己更好地理解自己和他人，並且建立聯絡。'],10
我被分手了,同理,['被分手，感到失落和难过是很正常的，尤其是当我们的感情经历挫折和失望时。\n\n以下是一些建议，希望有所帮助：\n\n1. 接受自己的情感：尽管感到难过和失落，但请接受这些情感，并试图不要否定或压抑它们。情感是自然的情感反应，我们需要学会接受它们。\n\n2. 寻求支持：与他人分享感受，尤其是亲密的朋友或家人。他们可以提供支持和安慰，帮助自己度过这段困难的时期。\n\n3. 保持积极的态度：尽管分手是一段不愉快的经历，但请尝试保持积极的态度。给自己一些时间来慢慢恢复，同时关注自己的成长和发展。\n\n4. 寻求专业帮助：如果感到无法处理自己的情感，那么考虑寻求专业帮助。心理治疗师可以帮助自己处理情绪和想法，找到更好的解决方案。\n\n5. 不要放弃：尽管分手是一段困难的时期，但请相信自己可以克服它。尝试保持积极的态度，相信自己可以找到一个更好的未来。\n\n请记住，这个过程需要时间和努力，但请相信自己可以克服这段困难时期。'],9
我破產了,了解,['很抱歉听到您的破產了。如果您需要尋求幾何尋求，我會盡力協助您。'],10
外面下雨，我忘記帶傘了,同理,['很抱歉听到這個故事，希望我的回答能幫助您。\n\n如果您是在忘記带伞，可以試著將伞放在身邊，或者使用雨衣或雨靴等防雨具。如果您是在雨天需要走動，可以考慮使用雨鞋或雨衣等防雨具。\n\n另外，如果您是在工作或學習等需要進行，可以考慮在雨天使用電腦幕或投影等方式進行工作或學習。\n\n最後，提醒您注意防雨，確保您的身體健康和安全。'].10
我作業交不完了,鼓勵,['您好！我來回答您的问题。\n\n如果您業務不滿期間，可以考慮向公司請求幫助。他們可能會幫助您完成業務，或者提供其他服務，例如代營業務、提供網絡信息等。\n\n另外，您也可以考慮使用網絡平台，例如 Google Sheets 或 Microsoft Excel，以進行業務的記錄。\n\n最後，如果您的業務仍然無法完成，建議您向公司請求幫助，以便您能夠完成業務。'],9
,,0.0
