question,goal,modelans
我受傷了,同理,"['很抱歉,我不知道您受伤了。是否需要提供更多帮助。']"
我今天生日,愉悅,['很高兴能和分享这个美好的事物。祝您生日快乐!']
我睡不著,陪伴,['抱歉，我不太晚了，您还有什么要紧']
我好累,同理,['听起来你感到疲倦或压力很大，可能需要休息一下。如果你有任何问题或需要帮助，请随时告诉我。']
你好煩,了解,"['你好,有什么问题需要帮助吗?']"
今天好開心,愉悅,['您好，很高兴能！有什么我可以帮助您的吗？']
一個人好無聊,陪伴,['我很樂意为您想您效劳。']
我被分手了,同理,"['分手时,你可能会感到失落、难过或者愤怒。无论原因是什么,这并不是什么。分手后,你可能会感到失落、难过或者愤怒,但这并不意味着世界末路。即使你曾经尽最大努力挽回,但最终还是无法改变。即使你曾经尽最大努力挽回,但最终还是无法改变。即使你曾经尽全力去挽回,但最终还是无法改变。分手后,你可能会感到失落、难过或者愤怒。']"
我破產了,了解,['我不知道您是']
外面下雨，我忘記帶傘了,同理,['首先，我们来到公园散步。']
我作業交不完了,鼓勵,"[""很抱歉， I'm sorry, I didn't complete my homework. Is there anything else I canhelp me?""]"
,,0.0
