question,goal,modelans
我受傷了,同理,['很抱歉听到你受伤的消息。如果需要帮助，请随时与我联系。我会尽力提供支持和建议。\n\n如果你需要紧急医疗帮助，请尽快联系当地的医院或诊所，获取必要的医疗护理。如果不确定如何联系医院或诊所，请查看当地的医院或诊所的网站或电话。\n\n此外，如果需要心理支持，请考虑寻求专业心理医生的帮助。他们可以提供更深入的支持和治疗。\n\n最后，如果你需要任何其他帮助，请告诉我，我会尽力提供支持和建议。']
我今天生日,愉悅,['生日快乐！祝您度过一个美好的一天。']
我睡不著,陪伴,['很抱歉，我不太明白你的问题。你可以提供更多细节或背景信息，这样我才能更好地回答你的问题。']
我好累,同理,['感到疲惫和压力时，可以尝试以下方法来缓解疲劳和压力：\n\n1. 睡眠：保证足够的睡眠，帮助身体和大脑恢复。\n\n2. 锻炼：适量的锻炼可以帮助减轻压力和疲劳感，提高身体健康和心情。\n\n3. 饮食：健康的饮食可以帮助缓解疲劳感，同时提高身体健康。\n\n4. 放松：尝试冥想、深呼吸或其他放松技巧，帮助减轻压力和焦虑。\n\n5. 社交：与家人和朋友交流，缓解压力和孤独感。\n\n6. 寻求专业帮助：如果感到无法摆脱疲劳和压力，可以寻求心理医生或治疗。']
你好煩,了解,['你好！作為一個 AI 語言模型，我很高興能幫助你。有什麼我可以幫助你的？']
今天好開心,愉悅,['很高兴听到您今天很开心。希望您每天都過得開心。']
一個人好無聊,陪伴,['這是一個很好的問題，因為它將人們的注意力縮寫在該人無聊的行為上。這種情況可能會發生於不同人的不同情況，但通常都會導致人們感到孤獨立和無聊。\n\n為了改善這種情況，你可以試著嘗試與其他人交流，例如和你的同學、朋友或家人聊天。你還可以試著與其他人分享你的興趣或主題，例如你喜歡旅行、電影或音樂。這樣做可以讓你與其他人建立聯網絡，並且讓你感到更加有關於自己的話題。\n\n另外，你還可以學習一些有趣的事情，例如學習一門新的語言、發展新的技能或學習新的知識。這樣可以讓你更加有趣和有關於自己的話題。\n\n最後，你也可以考慮尋求新的挑戰和刺激，例如加入社團體或學習新的技能。這樣可以讓你更加有動力去處理你感到孤獨立和無聊的情況。']
我被分手了,同理,['听到这个消息非常难过，我理解您的感受。分手是一段痛苦的体验，但请您相信，时间可以治愈一切。以下是一些建议，希望能帮助度过这个难关：\n\n1. 接受现实。不要试图挽回或试图让自己感觉更好，这只会导致更多的痛苦和混乱。接受分手的事实，并试图向前看。\n\n2. 寻求支持。与亲密的朋友和家人聊天，分享感受。不要孤单一人，因为人们会愿意倾听和提供帮助。\n\n3. 关注自己的健康。请确保自己有足够的睡眠、饮食和运动，这有助于保持身体健康和心理健康。\n\n4. 给自己时间和空间。分手是一段困难的时期，给自己足够的时间和空间来处理感受。\n\n5. 保持积极心态。请尝试保持积极的态度，并相信时间可以治愈一切。\n\n6. 避免极端行为。不要采取极端行为，这只会加剧痛苦。\n\n最后，请记住，您并不孤单，许多人都经历过类似的体验。请接受自己的情感，并尝试向前看。']
我破產了,了解,['很抱歉听到这个消息。我不确定你具体指的是哪个方面，但是我希望我的回答能够帮助你。\n\n如果你指的是财务方面的破產，我建议你寻求专业财务建议。如果你指的是其他方面的破產，我建议你考虑采取一些行动来改善你的情况。例如，你可以咨询专业人士，了解你目前的情况，并采取必要的措施来解决问题。']
外面下雨，我忘記帶傘了,同理,['很抱歉，我無法提供有用的答案。但是，如果忘記带伞，以下是一些可能的解決方案：\n\n1. 帶雨具：如果忘記带雨具，可以帶上一把雨伞或雨衣，或者使用雨衣或雨具。\n2. 找代用品：如果忘記带雨具，可以尋找其他的代用品，例如雨衣、雨鞋、雨靴等等。\n3. 找家人或朋友借：如果忘記带雨具，可以尋找家人或朋友幫助，或者等待雨過後再借錯誤。\n4. 購買新的雨具：如果忘記带雨具，可以購買新的雨具。\n\n希望以上建議對您有所幫助。']
我作業交不完了,鼓勵,['遇到做業上問題的話，建議可以尋求專業人士的協助。可以該人士提供解決方案或提供一些工具和技巧，提高業務效率。如果對於某些業務不熟悉，可以參考其他業務，找到適當的專業人士協助。']
,,0.0
