question,goal,modelans
我受傷了,同理,['很抱歉听到你不舒服。以下是一些建议，可以帮助你缓解受伤后的不适。\n\n1. 尽快休息：受伤后，让你的身体得到充分的休息是非常重要的。避免过度使用受伤部位，以免造成进一步的伤害。\n2. 冰敷：在受伤后的24小时内，使用冰袋进行冰敷可以减轻疼痛和肿胀。将冰袋裹在毛巾中，放在受伤部位上，每次敷15-20分钟，每天重复几次。\n3. 适当活动：在休息足够的同時，可以進行一些适当的活动，例如慢走或做一些輕鬆的伸展運動，以促進血液流通和加速康复。\n4. 抬高受伤部位：如果受伤部位在身体 above the ground，例如肩膀或腰部，在休息和冰敷期间，尽量抬高该部位，以减少肿胀。\n5. 尽量避免过度使用受伤部位：在康复期间，尽量避免使用受伤部位，以免造成进一步的伤害。\n\n如果受伤症状持续或者变得更加严重，请及时就医。'],9
我今天生日,愉悅,"['生日快乐!祝您今天过得愉快,愿您在新的一岁中,身体健康,心想事成,万事如意。希望您的生日能给您带来满满的快乐和祝福。']",13
我睡不著,陪伴,['如果你睡不著，以下是一些可能有用的建议：\n\n1. 创建一个放松的睡眠环境：确保你的卧室安静、黑暗、凉爽和舒适。可能需要降低温度、关闭窗户或使用耳塞等。\n2. 维持规律的睡眠时间表：尽可能每天在相同的时间上床和起床，包括周末。\n3. 避免在睡觉前使用电子产品：电视、电脑、手机等屏幕会刺激大脑，使你更难入睡。\n4. 尝试进行放松活动：在睡觉前做一些放松的活动，例如冥想、深呼吸或瑜伽等。\n5. 避免过多饮水：睡前过多饮水会使身体需要频繁上厕所，从而干扰睡眠。\n6. 饮食健康：避免在睡觉前摄入咖啡因、糖分或酒精等刺激性物质。\n\n如果以上方法无法帮助你入睡，你可能需要考虑咨询医生或睡眠专家，以获取更深入的帮助和建议。'],14
我好累,同理,"['疲倦。可能是因为经历了一段时间的工作或学习,或者因为一些其他的原因。休息和放松可以帮助恢复精力。尝试做一些有趣的事情,比如看电影、阅读、锻炼或者和朋友聊天,帮助自己放松心情。如果疲倦的感觉持续存在,并且影响到了日常生活,建议咨询医生,获得专业的帮助。']",14
你好煩,了解,['抱歉，如果我對您造成了不便，請告訴我您需要什麼幫助，我會盡力協助您。'],15
今天好開心,愉悅,['很高興聽到你今天開心。有什麼讓你感到开心的原因嗎？'],14
一個人好無聊,陪伴,['如果一個人感到無聊，可以嘗試以下幾種方法來打發時間：\n\n1. 閱讀書籍、報紙或雜誌，擴展自己的知識。\n2. 學習一項新技能，例如畫畫、練習奏樂、學習外語等。\n3. 運動，例如散步、跑步、游泳、瑜伽等，保持身體健康。\n4. 與朋友或家人通电话或視頻聊天，保持社交聯繫。\n5. 觀看電影、電視節目或動畫等娛樂节目，輕鬆一下。\n6. 聽音樂，或者創作自己的音樂。\n7. 探索網路世界，尋找有趣的網站或應用程式。\n8. 做瑜伽或冥想，放鬆心情。\n\n希望這些建議能幫助你打發時間。'],13
我被分手了,同理,['首先，很抱歉听到这个消息。分手是一种很痛苦的经历，但请记住，这并不是世界末日，你还会遇到更好的人。在度过这段艰难时期的过程中，请尝试以下建议：\n\n1. 给自己时间：允许自己悲伤和痛苦，不要试图压抑情感。分手的伤痛需要时间来治愈，不要强迫自己过快地走出来。\n\n2. 与亲朋好友分享：与信任的人倾诉你的感受，他们可以给你提供支持和建议。\n\n3. 保持积极的生活态度：尽量让自己保持愉快和积极，参加一些活动，与朋友聚会，保持健康的生活方式。\n\n4. 反思与成长：分析分手的原因，从中吸取教训，为自己的未来做好规划。\n\n5. 重新开始：当你感觉自己已经准备好时，尝试开始新的恋情。记住，不要急于投入，慢慢地建立信任和了解。\n\n请记住，每个人应对分手的方式都不同，找到适合自己的方法，给自己时间去疗伤，最终你会战胜这个挑战。祝你早日走出困境，找到属于你的幸福。'],15
我破產了,了解,['很抱歉听到这个消息。破產可能会给个人和家庭带来很大的财务和情感压力。请确保您在遇到困难时寻求支持和帮助。以下是一些建议：\n\n1. 寻求心理支持：与亲朋好友分享您的感受，寻求他们的支持和理解。也可以考虑寻求专业心理辅导，以便更好地应对破產带来的压力。\n\n2. 了解相关政策：了解我国针对离婚后的生活保障、子女抚养等方面的政策，确保自己的权益得到保障。\n\n3. 管理财务：合理规划财务状况，制定预算，并寻求专业的理财建议，确保自己在经济上能够应对未来的挑战。\n\n4. 关注身体健康：保持良好的生活习惯，注意饮食和锻炼，保持身心健康。\n\n5. 重新规划人生：离婚后，您可能需要重新审视自己的生活和目标。考虑重新就业、继续深造或寻求其他适合您的职业发展机会。\n\n6. 加入互助团体：寻找离婚 support group，与其他人分享您的经历，互相支持和鼓励。\n\n请记住，您并不孤独。许多人都会经历类似的困难。勇敢面对困难，寻求帮助，并相信未来会更好。'],3
外面下雨，我忘記帶傘了,同理,['不要擔心，我可以提供您一些在雨天室外活动的建議：\n\n1. 穿雨衣和鞋子，保护您的身体和鞋子不受雨水侵袭。\n2. 使用雨伞或雨衣，避免淋湿。\n3. 如果在室外活动，请注意避免淋湿重要的物品，如手机、钱包和重要文件。\n4. 如果需要等待雨停，请寻找一个有遮蔽物的地方，例如建筑物的墙角或商店的门口。\n5. 如果不想淋湿，可以选择在室内进行一些活动，例如看电影、阅读书籍或玩游戏。\n\n希望这些建议能对您有所帮助！'],14
我作業交不完了,鼓勵,['很抱歉听到你遇到了这个困难。首先，别担心。在这种情况下，我建议你采取以下几个步骤来解决问题：\n\n1. 分析问题：弄清楚为什么你无法完成作业。是因为没有足够的时间，还是遇到了难以理解的问题？了解问题的本质将有助于你采取相应的措施。\n\n2. 制定计划：评估你当前的进度，并制定一个详细的计划来完成作业。将任务分解成小块，并为每个小块分配足够的时间。确保计划是切实可行的，以免给自己过大的压力。\n\n3. 寻求帮助：如果你在完成作业过程中遇到困难，不要犹豫寻求帮助。你可以向老师、同学或家长寻求建议和指导。此外，你还可以利用网络资源，如教程、论坛和问答网站，来解决问题。\n\n4. 保持专注：在完成作业时，尽量远离干扰因素，如手机、电视和社交媒体。保持专注将有助于你更快地完成任务。\n\n5. 保持积极的心态：保持积极的心态对于应对压力和完成作业非常重要。相信自己能够克服困难，并相信你能够按时完成作业。\n\n6. 及时修改：完成作业后，务必检查并修改错误。这将有助于你提高作业的质量，并为以后的作业积累经验。\n\n希望以上建议能对你有所帮助。加油！'],13
,,0.0
