question,goal,modelans
我受傷了,同理,['很抱歉听到这个消息，我很乐意提供帮助。请告诉我您受伤的情况，我会尽我所能为您提供支持和建议。']
我今天生日,愉悅,['祝您生日快乐！祝您度过一个美好的一天，希望您今天能享受这个特别的日子，感受到自己的重要性和幸福。']
我睡不著,陪伴,['很抱歉，我不确定您的问题是什么。您能否提供更多背景信息，以便我更好地回答您的问题？']
我好累,同理,['感到疲惫和压力时，建议采取以下措施：\n\n1. 休息：确保得到足够的休息和睡眠。尝试每天保持足够的睡眠时间，以确保身体和大脑得到充分休息。\n\n2. 运动：适当的运动可以帮助缓解压力和疲劳。尝试每天进行一些有氧运动，如散步、跑步、游泳或骑自行车。\n\n3. 放松：尝试冥想、瑜伽或其他冥想练习来放松身心。\n\n4. 寻求支持：与朋友或家人交流，分享感受，减轻负担。\n\n5. 改变生活方式：尝试改变生活方式，如改变饮食习惯、减少咖啡因和糖分的摄入，增加蔬菜和水果的摄入量等。\n\n6. 寻求专业帮助：如果感到非常沮丧和无法自我缓解，请寻求专业帮助，如心理治疗或咨询。']
你好煩,了解,['你好！很高興能幫助你。有什麼我可以幫忙的嗎？']
今天好開心,愉悅,['很高兴听到这个好消息！希望您度过一个愉快的一天。']
一個人好無聊,陪伴,['您可以先思考您想與哪個人分享您的近况，然後選擇一個您感興趣或對象，並且與它們分享。如果您想與他人分享，您可以先設定一個目標，然後將您的想法和您所喜歡的對象分享給他們。']
我被分手了,同理,['被分手后，可以尝试以下方法来缓解情绪：\n\n1. 允许自己感受情绪：分手后，不要试图压抑情绪，允许自己感受情绪，这有助于自己更好地处理情绪。\n\n2. 与支持系统联系：与家人、朋友、辅导员或心理医生等支持系统联系，寻求支持和安慰。\n\n3. 接受现实：接受现实，不要试图否认或逃避，这只会让自己更加痛苦。\n\n4. 寻找自我反思：思考自己的优点和缺点，并尝试找到改进的方法。\n\n5. 关注自己的健康：尝试保持健康的饮食和运动习惯，这有助于减轻压力和焦虑。\n\n6. 给自己时间：给自己时间来处理情绪，不要强迫自己快速恢复。\n\n7. 学习新技能：尝试学习新的技能或爱好，让自己忙碌起来。\n\n最重要的是，不要独自承受痛苦，寻求支持和帮助。']
我破產了,了解,['很抱歉听到您的破產了，我們可以一起探讨如何維護好自己，以及如何找到更好的價值觀念和目標。']
外面下雨，我忘記帶傘了,同理,['很抱歉，我無法提供具體的解決方案。以下是一些可能有用的提示：\n\n1. 帶雨具：如果忘記帶雨具，可以帶上一把雨伞或雨衣，或是購買一把新的雨具。\n2. 穿上雨衣或雨具：如果忘記帶雨具，可以穿上雨衣或雨具。\n3. 避免使用電腳踏帶：如果忘記帶雨具，可以不使用電腳踏帶，或是帶上一把雨伞。\n4. 找地方避雨：如果外面下雨，可以找一個安全的地方避雨，例如室内或是車裡。\n5. 確保門禁：如果忘記帶雨具，可以確保門禁，避免雨打湿衣服和鞋子。\n\n希望這些提示能幫助你解決忘記帶雨具的問題。']
我作業交不完了,鼓勵,['抱歉，我可能无法回答你的问题。请提供更多细节，例如你正在做什么工作，遇到了什么困难，以及你期望得到什么样的回答。']
,,0.0
