question,goal,modelans
我受傷了,同理,['受傷了，要怎麼處理呢？'],9
我今天生日,愉悅,"['生日快乐!祝您度过一个愉快的生日,愿您的心中充满幸福和快乐。']",13
我睡不著,陪伴,"['如果遇到睡不着的情况,可以尝试以下方法来帮助入睡:\n\n1. 放松身体:试着放松身体,深呼吸或做一些轻松的伸展运动,以缓解身体的紧张。\n\n2. 创建一个舒适的睡眠环境:保持卧室安静、凉爽、黑暗、舒适,有助于提高睡眠质量。\n\n3. 避免使用电子产品:避免使用电子产品,如手机、电视、电脑等,以减少蓝光的影响,有助于入睡。\n\n4. 规律作息:尽量在同一时间入睡和起床,帮助身体建立一个规律的睡眠习惯。\n\n5. 放松大脑:尝试进行放松活动,如冥想、瑜伽、听轻柔的音乐等,有助于放松大脑,减轻压力。\n\n如果这些方法不能解决您的问题,您可以尝试咨询医生或睡眠专家,以获取更专业的帮助。']",13
我好累,同理,"['疲倦。可能是因为经历一些挑战或任务,也可能是因为需要休息和放松。让自己有时间休息和重新充电是非常重要的。\n\n以下是一些可以帮助你缓解疲劳的建议:\n\n1. 休息:让自己有时间放松和休息。包括睡觉、阅读、听音乐或看电影等。\n\n2. 锻炼:进行一些有氧运动,例如慢跑、游泳或骑自行车等,可以增加身体的能量和改善心理状态。\n\n3. 社交:和家人、朋友或同事聊天、吃饭、一起做一些有趣的事情,可以提高心情和精神状态。\n\n4. 自我关怀:为自己的身体和心理健康提供更好的照顾,例如采取健康的饮食、减少咖啡因和糖分的摄入、学习冥想等。\n\n5. 寻求支持:如果你觉得无法通过自己的努力来减轻疲劳,可以寻求专业人士的帮助,例如心理医生或咨询师。\n\n希望这些建议能有助于减轻疲劳感。记住,尊重自己的身体和心理健康是非常重要的。']",13
你好煩,了解,['不好意思，如果让你感到烦躁，我会尽量减少我的打扰。请告诉我有什么我可以帮助你的吗？'],14
今天好開心,愉悅,"['很高興聽到您今天很高興!有什么让您感到高興的事情嗎?无论如何,祝愿您继续享受快樂的时光!']",13
一個人好無聊,陪伴,"['如果一個人感到無聊,他們可以嘗試一些新的活動來打發時間,例如閱讀書籍、聽音樂、观看一部電影、跟朋友或家人通話、去散步、找一些新的挑戰、參加一些活動或者嘗試一些新的興趣等等。也可以試著為自己設定一些目標或計劃,讓自己忙碌起來,增加生活的多樣性。']",12
我被分手了,同理,"['听到这个消息非常难过,对此深感抱歉。分手往往是一件非常痛苦和失落的事情,但也是成长和学习的机会。在这个时候,最重要的是照顾好自己,具体可以参考下述建议:\n1. 允许自己感受到痛苦和失落:分手可能会带来强烈的情感反应,包括悲伤、愤怒、失落等,这些感受都是正常的。不要试图压抑这些情感,而是允许自己感受到痛苦和失落,并给自己足够的时间来缓解痛苦。\n2. 与亲友沟通:与亲友沟通可以帮助自己释放内心的情感,感到得到安慰和支持。亲友们也可以给自己一些实用的建议和意见,帮助自己更好地处理分手的情况。\n3. 寻找适合自己的自我疗愈方法:包括运动、练习冥想和瑜伽、阅读、写作、绘画等等。这些活动可以帮助自己转移注意力,缓解痛苦,找到新的自我。\n4. 不要自责和过度解读:分手可能是因为两个人之间的不合适,不要把分手归咎于自己。不要过度解读和自责,这样只会让你更加痛苦。要相信自己,相信时间可以治愈一切。\n5. 寻求专业帮助:如果感到无法应对分手的情况,或者遇到了精神健康问题,可以考虑寻求专业帮助。心理治疗师和医生可以提供有效的支持和帮助。\n分手是一种正常的人生经历,可能会带来痛苦和失落,但也会给你带来成长和学习的机会。不要失去勇气和信心,相信自己可以走出阴影,重新找到属于自己的幸福。']",14
我破產了,了解,"['很抱歉听到您遇到这样的困境。面对破产这样的情况,可能会感到沮丧、无助、焦虑和不安。不过,不要失去希望,可以采取以下措施来应对:\n\n1. 冷静下来:遇到事情不要急躁、生气或者沮丧,要保持冷静,评估当前情况,制定可行的计划。\n\n2. 寻求帮助:如果遇到破产,可以寻求家人、朋友、专业律师或者财务顾问的帮助,他们可以提供指导和支持。\n\n3. 了解情况:了解自己的财务状况,包括债务、资产和负债情况,有助于制定一个可行的破产计划。\n\n4. 支付债务:根据破产计划,优先支付债务,包括优先支付最紧急的债务,例如房租、水电费和医疗费用。\n\n5. 减少开支:在支出方面,尽量减少不必要的开支,例如削减不必要的娱乐、餐饮和购物等开支。\n\n6. 寻找新工作:如果失去工作,要尽快开始寻找新的工作,获得收入并还清债务。\n\n7. 保持积极心态:虽然遇到破产是一件不幸的事情,但要相信自己有能力克服困境,保持积极心态,寻找机会来还清债务。\n\n最后,不要自己随意处理破产情况,最好寻求专业人士的帮助,例如律师或财务顾问等。']",13
外面下雨，我忘記帶傘了,同理,['你可以冒著雨回家，或者找一個地方躲避雨水。如果你希望保持干燥，可以考慮躲在室内，或者找到一個可以遮雨的地方。'],13
