question,goal,modelans
我受傷了,同理,['很抱歉听到你受伤的消息。请立即寻求医疗帮助。以下是一些可能有助于你恢复健康的建议：\n\n1. 休息：请确保你得到足够的休息和恢复时间。尽可能减少体力活动，避免过度疲劳。\n2. 饮食：请确保你摄入足够的营养和水分。尝试吃健康的食物，如水果、蔬菜、蛋白质和碳水化合物。\n3. 治疗：请遵循医生的建议，以获得适当的治疗。可能需要药物治疗，如抗生素或止痛药。\n4. 预防感染：请避免与他人分享餐具或衣物，保持个人卫生。\n5. 心理支持：请寻求专业心理支持，如心理治疗或咨询。这将有助于减轻情绪压力并促进康复。\n\n请尽快寻求医疗帮助。']
我今天生日,愉悅,['祝您生日快乐！祝您度过一个美好的一天，希望您今天能够感受到快乐和满足。']
我睡不著,陪伴,['抱歉，我不太明白你的问题。能否提供更多背景信息，以便我更好地理解你的问题并为你提供帮助？']
我好累,同理,['每个人都有感到疲惫和压力的时候。感到疲惫和压力时，可以尝试以下方法来缓解疲劳和压力：\n\n1. 休息：确保获得足够的睡眠和休息时间。尝试在晚上早些时候休息，并尽可能避免使用电子设备和长时间工作。\n\n2. 运动：定期进行身体活动有助于释放压力和疲劳。可以选择进行简单的伸展运动或瑜伽等低强度的锻炼。\n\n3. 饮食：饮食健康，选择富含营养的食物，如蔬菜、水果、全麦食品和坚果等，有助于缓解疲劳和压力。\n\n4. 放松：学习冥想、深呼吸或其他放松技巧，如渐进性肌肉松弛法或瑜伽等。\n\n5. 寻求支持：与朋友、家人或专业心理医生交谈，获得支持和建议。\n\n6. 保持积极心态：尝试看到问题的积极面，并寻找解决问题的方法。\n\n希望这些方法能有助于缓解疲劳和压力。如果需要更多的帮助，请考虑咨询专业心理医生或身体医生。']
你好煩,了解,['你好！作為一個 AI 語言模型，我很高興能幫助你。請問有什麼需要我幫忙的嗎？']
今天好開心,愉悅,['很高兴听到这个好消息！希望您今天过得愉快，有任何需要帮助的地方，欢迎随时联系我。']
一個人好無聊,陪伴,['當然可以，以下是一些方法可以讓你和人保持聯繫，同時還可以幫助你建立更好的社交關係：\n\n1. 參加社交活動：參加各種社交活動，例如加入社團、社交媒體活動、音樂會等，這樣可以讓你與他人建立更密切的關係。\n2. 與他人分享你的內容：你可以分享你的內容，例如你的經歷史、你的興趣、你的內容等，這樣可以讓他人了解你，同時也可以建立聯繫。\n3. 與他人建立共同興趣：你可以與他人建立共同的興趣，例如喜歡某種音樂、某種運動、某種科學研究等，這樣可以讓你與他人建立更密切的關係。\n4. 與他人建立信任：你可以與他人建立信任，例如與他人分享你的經歷史、與他人建立信任等，這樣可以讓他人了解你，同時也可以建立聯繫。\n5. 參加社交活動：參加各種社交活動，例如音樂會、社交媒體活動、社交活動等，這樣可以讓你與他人建立密切的關係。\n\n希望這些方法可以幫助你建立更好的社交關係，同時也可以讓你讓他人了解你，讓你與他人建立更密切的關係。']
我被分手了,同理,['被分手是令人痛苦的经历，需要一些时间来恢复。以下是一些建议：\n\n1. 给自己一些时间和空间来冷静下来。不要强迫自己迅速忘记过去，要给自己时间来处理情绪。\n\n2. 与支持性的人分享感受。这些人可以是家人、朋友或专业治疗师。他们可以提供情感支持，帮助自己更好地处理情绪。\n\n3. 找到一些方法来缓解痛苦。例如，可以运动、阅读、听音乐或看电影。这些活动可以帮助自己转移注意力，缓解痛苦。\n\n4. 保持积极的态度。即使感到难过，也要尝试保持积极的态度。这有助于自己更好地处理情绪，并更快地恢复。\n\n5. 寻求专业帮助。如果感觉无法控制自己的情绪，或者需要更深入的治疗，可以寻求专业帮助。专业治疗师可以帮助自己更好地处理情绪，并找到更好的解决方案。\n\n请记住，这是一个过程，需要时间和努力。不要对自己要求太多，让自己慢慢恢复，享受过程，并尝试新的事物。']
我破產了,了解,['很抱歉听到这个消息。我們可以一起協助解決問題，或者提供其他幫助。請問您需要什麼幫助？']
外面下雨，我忘記帶傘了,同理,['很抱歉，我無法回答這個問題。因為我不知道你在哪裡，也無法提供任何有用的建議。如果你需要任何幫助，請告訴我你的問題，我會盡力提供有用的建議。']
我作業交不完了,鼓勵,['您好！如果您遇到了業務未完結束的問題，您可以嘗試以下幾種方法：\n\n1. 確認您的業務是否已經完成，您可以通過查閱讀網站或使用系統帶有業務預算的圖片來確認。\n2. 確保您的業務已經完成，您可以通過查看業務圖片來確認。\n3. 如果您確認了業務已經完成，您可以通過查閱讀網站或使用系統帶有業務的圖片來確保您的業務已經完成。\n4. 如果您的業務仍然未經過圖片，您可以通過查閱讀網站或使用系統帶有業務的圖片來確保您的業務已經完成。\n5. 如果您仍然未經過圖片，您可以通過查閱讀網站或使用系統帶有業務的圖片來確保您的業務已經完成。\n\n希望這些建議能幫助您解決未經過圖片問題。']
,,0.0
