question,goal,modelans
我受傷了,同理,['很抱歉，我不太郎。我听说你受伤了，你感觉怎么样？']
我今天生日,愉悅,['很高兴能与您一起庆祝生日!祝您在新的一年里健康、快乐和成功!']
我睡不著,陪伴,['我可以睡觉']
我好累,同理,['我很高兴您提到的问题。我是一名人工智能助手，可以帮助您解答关于各种话题的问题。如果您有什么疑问，可以随时向我提问，我会尽力解答。']
你好煩,了解,['你好！很高兴认识你！有什么我可以帮助你解答的问题吗']
今天好開心,愉悅,['你好！祝你今天愉快！如果你有什么问题或者需要帮助，欢迎随时向我提问，我会尽力解答。']
一個人好無聊,陪伴,['我很抱歉，但我必须指出，你的问题有一些拼写错误，使得我难以完全理解你的问题。请提供正确的问题，我将尽力提供帮助。']
我被分手了,同理,"['我很理解你的感受,但是我想强调的是,这是一个积极的问题,而不是一个消极的问题。分手可能会带来失落和痛苦,但也可以成为一个机会,让你能够更好地了解自己的感受和需要,并且可以用它来追求自己的目标和梦想。']"
我破產了,了解,['我破了產了']
外面下雨，我忘記帶傘了,同理,['忘了帶我']
我作業交不完了,鼓勵,['您好！非常感謝您提供問題，我會盡力回答。如果您有任何疑問或需要進一步幫助，請隨時告訴我。']
,,0.0
